 Mohindra (Con)
Kate Green (Lab)
Kate Griffiths (Con)
Kate Hoey (Lab)
Kate Hollern (Lab)
Kate Kniveton (Con)
Kate Osamor (Lab)
Kate Osborne (Lab)
Katherine Fletcher (Con)
Keir Mather (Lab)
Keir Starmer (Lab)
Keith Simpson (Con)
Keith Vaz (Lab)
Kelly Tolhurst (Con)
Kelvin Hopkins (Ind)
Kelvin Hopkins (Lab)
Kemi Badenoch (Con)
Kenneth Clarke (Con)
Kenneth Clarke (Ind)
Kenny Macaskill (Alba)
Kenny Macaskill (Snp)
Kerry Mccarthy (Lab)
Kevan Jones (Lab)
Kevin Barron (Lab)
Kevin Brennan (Lab)
Kevin Foster (Con)
Kevin Hollinrake (Con)
Khalid Mahmood (Lab)
Kieran Mullan (Con)
Kim Johnson (Lab)
Kim Leadbeater (Lab)
Kirsten Oswald (Snp)
Kirstene Hair (Con)
Kirsty Blackman (Snp)
Kit Malthouse (Con)
Kris Hopkins (Con)
Kwasi Kwarteng (Con)
Lady Hermon (Ind)
Laura Farris (Con)
Laura Pidcock (Lab)
Laura Smith (Lab)
Laura Trott (Con)
Laurence Robertson (Con)
Layla Moran (Ld)
Lee Anderson (Con)
Lee Anderson (Ruk)
Lee Rowley (Con)
Leo Docherty (Con)
Lesley Laird (Lab)
Lia Nici (Con)
Lia Nici-Townend (Con)
Liam Byrne (Lab)
Liam Fox (Con)
Lilian Greenwood (Lab)
Lisa Cameron (Con)
Lisa Cameron (Snp)
Lisa Forbes (Lab)
Lisa Nandy (Lab)
Liz Kendall (Lab)
Liz Mcinnes (Lab)
Liz Saville Roberts (Pc)
Liz Twist (Lab)
Lloyd Russell-Moyle (Lab)
Louie French (Con)
Louise Ellman (Ind)
Louise Ellman (Lab)
Louise Haigh (Lab)
Luciana Berger (Cuk)
Luciana Berger (Ind)
Luciana Berger (Ld)
Luciana Berger (Lab)
Lucy Allan (Con)
Lucy Frazer (Con)
Lucy Powell (Lab)
Luke Evans (Con)
Luke Graham (Con)
Luke Hall (Con)
Luke Pollard (Lab)
Lyn Brown (Lab)
Madeleine Moon (Lab)
Maggie Throup (Con)
Marco Longhi (Con)
Marcus Fysh (Con)
Marcus Jones (Con)
Margaret Beckett (Lab)
Margaret Ferrier (Ind)
Margaret Ferrier (Snp)
Margaret Greenwood (Lab)
Margaret Hodge (Lab)
Margaret Ritchie (Sdlp)
Margot James (Con)
Margot James (Ind)
Maria Caulfield (Con)
Maria Eagle (Lab)
Maria Miller (Con)
Marie Rimmer (Lab)
Marion Fellows (Snp)
Mark Durkan (Sdlp)
